UTC,Latitude,Longitude,species,call,end,DriftName,gpsUncertainty,DataQuality
2021-07-26 04:06:00 UTC,37.98582657,-123.5024824,Gg,Clicks,2021-07-26 04:18:00 UTC,ADRIFT_003,68.79512277,compromised
2021-07-30 12:28:28 UTC,38.03271748,-123.4764946,Gg,Clicks,2021-07-30 12:50:08 UTC,ADRIFT_003,2.381623902,compromised
2021-07-27 13:28:30 UTC,38.12771518,-123.4485327,Gg,Clicks,2021-07-27 14:27:00 UTC,ADRIFT_006,11.29323476,compromised
2021-06-13 06:09:39 UTC,37.92411122,-123.4649551,Gg,Clicks,2021-06-13 06:50:49 UTC,ADRIFT_007,10.70844356,compromised
2022-01-19 02:37:28 UTC,41.05948426,-124.4946666,Gg,Clicks,2022-01-19 02:58:00 UTC,ADRIFT_012,12.73538206,compromised
2022-01-19 04:16:06 UTC,41.06311754,-124.4919541,Gg,Clicks,2022-01-19 04:48:29 UTC,ADRIFT_012,39.10758048,compromised
2022-01-19 05:25:17 UTC,41.06515041,-124.4865607,Gg,Clicks,2022-01-19 05:53:42 UTC,ADRIFT_012,32.38379255,compromised
2022-01-19 06:05:05 UTC,41.06544986,-124.4836014,Gg,Clicks,2022-01-19 06:32:54 UTC,ADRIFT_012,36.41084728,compromised
2022-01-19 07:01:29 UTC,41.06528055,-124.4804914,Gg,Clicks,2022-01-19 07:46:25 UTC,ADRIFT_012,28.41280348,compromised
2022-06-23 05:54:45 UTC,35.84410826,-121.8255675,Gg,Clicks,2022-06-23 05:59:00 UTC,ADRIFT_021,76.3829497,compromised
2022-06-25 06:48:36 UTC,35.70801722,-121.768709,Gg,Clicks,2022-06-25 07:18:11 UTC,ADRIFT_021,138.6735768,compromised
2022-09-14 03:44:50 UTC,41.12940738,-124.5215593,Gg,Clicks,2022-09-14 04:11:40 UTC,ADRIFT_032,63.318753,good
2022-09-14 04:27:25 UTC,41.18974852,-124.4101453,Gg,Clicks,2022-09-14 06:01:14 UTC,ADRIFT_033,140.8890755,compromised
2022-11-17 07:49:48 UTC,41.08288627,-124.4388336,Gg,Clicks,2022-11-17 08:17:23 UTC,ADRIFT_037,65.71720542,good
2022-12-14 23:38:54 UTC,40.75130778,-124.5237721,Gg,Clicks,2022-12-15 00:33:44 UTC,ADRIFT_039,216.3254885,compromised
2022-12-15 01:41:04 UTC,40.73742533,-124.5306591,Gg,Clicks,2022-12-15 01:52:54 UTC,ADRIFT_039,198.3940053,compromised
2023-03-20 08:26:26 UTC,44.60997215,-124.7286287,Gg,Clicks,2023-03-20 08:57:55 UTC,ADRIFT_042,0.926429564,compromised
2023-03-20 07:04:19 UTC,44.68569613,-124.6497871,Gg,Clicks,2023-03-20 07:14:44 UTC,ADRIFT_043,88.71658322,good
2023-03-17 03:44:52 UTC,40.87551772,-124.4942129,Gg,Clicks,2023-03-17 06:14:37 UTC,ADRIFT_054,52.92880817,compromised
2023-03-17 06:31:52 UTC,40.8913768,-124.4985143,Gg,Clicks,2023-03-17 06:47:32 UTC,ADRIFT_054,67.14574964,compromised
2023-03-17 07:10:27 UTC,40.89470111,-124.4999256,Gg,Clicks,2023-03-17 08:56:56 UTC,ADRIFT_054,116.3951886,compromised
2023-03-17 10:18:06 UTC,40.91651415,-124.4965228,Gg,Clicks,2023-03-17 10:33:41 UTC,ADRIFT_054,94.40583179,compromised
2023-03-17 23:08:24 UTC,41.00196117,-124.5010476,Gg,Clicks,2023-03-18 01:05:38 UTC,ADRIFT_054,7.784748132,compromised
2023-03-17 01:51:54 UTC,40.83431449,-124.5731665,Gg,Clicks,2023-03-17 02:24:39 UTC,ADRIFT_055,8.13002968,compromised
2023-03-17 02:44:29 UTC,40.83149495,-124.5693375,Gg,Clicks,2023-03-17 03:20:24 UTC,ADRIFT_055,119.0833296,compromised
2023-03-17 03:51:39 UTC,40.82887116,-124.5672332,Gg,Clicks,2023-03-17 05:57:53 UTC,ADRIFT_055,56.05374093,compromised
2023-03-17 08:12:48 UTC,40.83298467,-124.5733824,Gg,Clicks,2023-03-17 11:19:48 UTC,ADRIFT_055,73.90670806,compromised
2023-03-17 12:33:28 UTC,40.85265024,-124.5474981,Gg,Clicks,2023-03-17 13:24:58 UTC,ADRIFT_055,69.71233996,compromised
2023-03-18 02:06:06 UTC,40.88565945,-124.5112666,Gg,Clicks,2023-03-18 04:47:21 UTC,ADRIFT_055,166.0636859,compromised
2023-03-18 08:04:31 UTC,40.89176937,-124.5045572,Gg,Clicks,2023-03-18 09:11:31 UTC,ADRIFT_055,109.8920455,compromised
2023-03-17 08:16:52 UTC,40.80716302,-124.6565989,Gg,Clicks,2023-03-17 13:40:26 UTC,ADRIFT_057,37.39153011,compromised
2023-03-18 03:10:03 UTC,40.79978193,-124.5546886,Gg,Clicks,2023-03-18 03:58:38 UTC,ADRIFT_057,64.39470578,compromised
2023-03-18 08:30:57 UTC,40.78328958,-124.5537541,Gg,Clicks,2023-03-18 09:25:57 UTC,ADRIFT_057,92.68308666,compromised
2023-04-28 05:15:46 UTC,45.33925,-124.346,Gg,Clicks,2023-04-28 05:40:31 UTC,ADRIFT_065,0,compromised
2023-05-08 07:14:24 UTC,37.82115771,-123.3897786,Gg,Clicks,2023-05-08 08:53:34 UTC,ADRIFT_067,65.94256427,compromised
2023-05-08 09:58:04 UTC,37.83792036,-123.3904139,Gg,Clicks,2023-05-08 10:01:04 UTC,ADRIFT_067,159.540211,compromised
2023-05-08 06:57:50 UTC,40.9570342,-124.5893193,Gg,Clicks,2023-05-08 07:16:10 UTC,ADRIFT_068,255.148303,compromised
2023-05-08 09:58:05 UTC,40.9672178,-124.570431,Gg,Clicks,2023-05-08 10:06:30 UTC,ADRIFT_068,42.79304588,compromised
2023-05-09 04:05:07 UTC,40.98876676,-124.5710462,Gg,Clicks,2023-05-09 04:47:47 UTC,ADRIFT_068,14.80019861,compromised
2023-05-09 08:25:27 UTC,41.00156366,-124.5605368,Gg,Clicks,2023-05-09 08:31:47 UTC,ADRIFT_068,40.76556529,compromised
2023-05-09 09:04:21 UTC,41.00249083,-124.5591729,Gg,Clicks,2023-05-09 09:34:36 UTC,ADRIFT_068,43.8319226,compromised
2023-07-21 04:26:21 UTC,44.44191221,-124.8133581,Gg,Clicks,2023-07-21 04:33:46 UTC,ADRIFT_077,59.96832951,compromised
2023-07-12 05:24:22 UTC,35.64204275,-121.6389916,Gg,Clicks,2023-07-12 06:14:27 UTC,ADRIFT_079,21.89165163,good
2023-07-12 07:27:02 UTC,35.63972174,-121.6429086,Gg,Clicks,2023-07-12 08:46:02 UTC,ADRIFT_079,11.96593518,good
2023-07-12 09:33:47 UTC,35.64380936,-121.6416403,Gg,Clicks,2023-07-12 10:18:32 UTC,ADRIFT_079,98.70695773,good
2023-07-15 07:13:33 UTC,35.68015332,-121.6353232,Gg,Clicks,2023-07-15 07:26:38 UTC,ADRIFT_081,41.30354104,good
2023-07-12 07:06:27 UTC,35.56167624,-121.4972326,Gg,Clicks,2023-07-12 07:55:32 UTC,ADRIFT_083,3.323396655,good
2023-07-16 04:18:13 UTC,35.58827285,-121.4278018,Gg,Clicks,2023-07-16 04:22:33 UTC,ADRIFT_083,27.49791742,good
2023-08-05 05:10:05 UTC,45.31577515,-124.4690261,Gg,Clicks,2023-08-05 05:49:30 UTC,ADRIFT_087,6.157098764,compromised
2023-08-28 05:20:40 UTC,41.01948731,-124.4186305,Gg,Clicks,2023-08-28 06:44:20 UTC,ADRIFT_088,54.29045042,compromised
2018-09-15 10:28:12 UTC,42.08119828,-124.541634,Gg,Clicks,,CCES_007,69.8492054,good
2018-09-15 10:48:07 UTC,42.08121,-124.5398221,Gg,Clicks,,CCES_007,80.08714067,good
2018-09-15 11:08:12 UTC,42.0812075,-124.5380908,Gg,Clicks,,CCES_007,7.383349552,good
2018-09-15 11:28:07 UTC,42.08116629,-124.5366211,Gg,Clicks,,CCES_007,48.11910939,good
2018-08-26 04:38:42 UTC,37.01674969,-128.0400557,Gg,Clicks,,CCES_008,18.48804921,good
2018-08-26 04:58:31 UTC,37.01422004,-128.0434775,Gg,Clicks,,CCES_008,167.9813672,good
2018-08-27 06:19:26 UTC,36.80894434,-128.1695975,Gg,Clicks,,CCES_008,156.0672727,good
2018-08-27 06:38:57 UTC,36.80676813,-128.1704127,Gg,Clicks,,CCES_008,6.63266014,good
2018-08-27 06:58:36 UTC,36.80441135,-128.1713445,Gg,Clicks,,CCES_008,57.24990862,good
2018-08-27 07:18:37 UTC,36.80205216,-128.1721024,Gg,Clicks,,CCES_008,159.8504431,good
2018-08-27 17:38:16 UTC,36.71545536,-128.1877332,Gg,Clicks,,CCES_008,50.65425987,good
2018-08-27 17:58:46 UTC,36.7135562,-128.1884899,Gg,Clicks,,CCES_008,26.36187052,good
2018-09-01 04:18:32 UTC,36.32178592,-127.6038223,Gg,Clicks,,CCES_008,24.46263644,good
2018-09-01 04:38:31 UTC,36.32165026,-127.601803,Gg,Clicks,,CCES_008,1.524845424,good
2018-09-02 05:58:27 UTC,36.31482092,-127.4748036,Gg,Clicks,,CCES_008,36.13100651,good
2018-09-02 06:18:21 UTC,36.31424545,-127.4731725,Gg,Clicks,,CCES_008,52.44758392,good
2018-09-02 06:38:51 UTC,36.31378808,-127.4715144,Gg,Clicks,,CCES_008,8.711834886,good
2018-09-02 10:58:36 UTC,36.31032597,-127.4552045,Gg,Clicks,,CCES_008,19.92949311,good
2018-09-03 06:38:31 UTC,36.30189281,-127.3737955,Gg,Clicks,,CCES_008,40.80178278,good
2018-09-04 10:58:47 UTC,36.26738554,-127.290927,Gg,Clicks,,CCES_008,8.700508239,good
2018-09-05 07:38:21 UTC,36.22897773,-127.219133,Gg,Clicks,,CCES_008,56.17788284,good
2018-09-05 07:58:21 UTC,36.22765175,-127.2181875,Gg,Clicks,,CCES_008,113.994617,good
2018-09-06 03:38:26 UTC,36.2016158,-127.1450333,Gg,Clicks,,CCES_008,12.40584261,good
2018-09-06 10:59:52 UTC,36.18266886,-127.1175922,Gg,Clicks,,CCES_008,27.2997826,good
2018-09-06 11:18:56 UTC,36.18237913,-127.1163316,Gg,Clicks,,CCES_008,55.65252761,good
2018-09-08 05:58:41 UTC,36.11341109,-126.9994017,Gg,Clicks,,CCES_008,9.234778826,good
2018-09-10 03:38:21 UTC,36.02511345,-126.9251267,Gg,Clicks,,CCES_008,29.52794991,good
2018-09-14 11:18:41 UTC,35.79163798,-126.8142764,Gg,Clicks,,CCES_008,3.85042586,good
2018-09-15 07:38:11 UTC,35.74733105,-126.8039216,Gg,Clicks,,CCES_008,16.09591258,good
2018-09-16 07:38:51 UTC,35.68255475,-126.8172974,Gg,Clicks,,CCES_008,88.74960732,good
2018-09-20 19:38:51 UTC,35.42575182,-127.0959401,Gg,Clicks,,CCES_008,44.68188747,good
2018-09-24 02:58:16 UTC,35.32101276,-127.2461389,Gg,Clicks,,CCES_008,42.68156746,good
2018-09-24 03:19:02 UTC,35.32097161,-127.2470067,Gg,Clicks,,CCES_008,10.8770706,good
2018-09-24 03:38:26 UTC,35.3211103,-127.2477556,Gg,Clicks,,CCES_008,19.98620305,good
2018-09-25 08:18:31 UTC,35.27569746,-127.3004246,Gg,Clicks,,CCES_008,23.73735028,good
2018-09-25 08:38:21 UTC,35.27513252,-127.3012062,Gg,Clicks,,CCES_008,13.62740675,good
2018-09-27 06:58:31 UTC,35.2226605,-127.365983,Gg,Clicks,,CCES_008,31.31021944,good
2018-09-27 07:18:46 UTC,35.22310611,-127.3673816,Gg,Clicks,,CCES_008,32.40274925,good
2018-09-27 08:58:21 UTC,35.22419756,-127.3737597,Gg,Clicks,,CCES_008,28.24678549,good
2018-09-27 09:38:31 UTC,35.22413738,-127.3762615,Gg,Clicks,,CCES_008,30.05998704,good
2018-09-27 09:58:51 UTC,35.22400269,-127.3774155,Gg,Clicks,,CCES_008,16.087793,good
2018-09-29 22:18:26 UTC,35.17488119,-127.4666072,Gg,Clicks,,CCES_008,3.642740856,good
2018-09-29 22:38:56 UTC,35.17471584,-127.4666029,Gg,Clicks,,CCES_008,14.1154563,good
2018-09-10 03:18:57 UTC,34.24295896,-124.3727628,Gg,Clicks,,CCES_012,120.2691252,good
2018-09-26 04:16:45 UTC,33.33817473,-121.3736056,Gg,Clicks,,CCES_013,31.82075935,good
2018-09-26 04:36:45 UTC,33.33718208,-121.3743712,Gg,Clicks,,CCES_013,26.83863645,good
2018-09-26 05:16:45 UTC,33.33606031,-121.3760345,Gg,Clicks,,CCES_013,19.28402009,good
2018-09-26 17:36:40 UTC,33.29932179,-121.3721946,Gg,Clicks,,CCES_013,8.415841831,good
2018-09-27 04:36:50 UTC,33.26383277,-121.3556484,Gg,Clicks,,CCES_013,1.424217675,good
2016-08-30 13:56:27 UTC,31.29904789,-123.1360668,Gg,Clicks,2016-08-30 14:28:57 UTC,PASCAL_007,21.46252578,compromised
2016-09-01 08:32:33 UTC,31.29139455,-122.8238053,Gg,Clicks,2016-09-01 09:03:39 UTC,PASCAL_007,104.525129,compromised
2016-09-02 02:29:33 UTC,31.28883719,-122.6727097,Gg,Clicks,2016-09-02 02:53:28 UTC,PASCAL_007,146.7487895,compromised
2016-09-03 04:14:18 UTC,31.25245748,-122.4769748,Gg,Clicks,2016-09-03 05:02:33 UTC,PASCAL_007,53.83954521,compromised
2016-09-03 09:57:18 UTC,31.23767353,-122.4355399,Gg,Clicks,2016-09-03 10:25:03 UTC,PASCAL_007,76.84187155,compromised
2016-09-05 13:50:46 UTC,31.00823491,-122.2154405,Gg,Clicks,2016-09-05 14:21:47 UTC,PASCAL_007,32.13007849,compromised
2016-09-10 12:09:08 UTC,30.50967219,-122.3355391,Gg,Clicks,2016-09-10 12:32:38 UTC,PASCAL_007,79.79030966,compromised
